id,ot,alias,setcode,type,atk,def,level,race,attribute,category
10000,3,0,0,33554465,-2,-2,10,8192,32,270336
27551,3,0,0,131076,0,0,0,0,0,262144
32864,3,0,0,17,1200,900,3,16,32,0
35699,3,0,238,33554465,2800,1200,8,8,16,262151
39015,11,0,0,33,1600,800,4,32768,1,262144
41546,3,0,7209135,16777249,1800,2600,101056520,8,32,2147745808
41777,3,0,71,4,0,0,0,0,0,263168
44818,3,0,345,33,400,2100,4,4,16,262656
50755,3,0,0,4,0,0,0,0,0,262656
56889,3,0,0,4,0,0,0,0,0,8196
62121,3,0,0,2097185,920,1930,4,8,32,8192
96540,11,0,0,2,0,0,0,0,0,262144
98905,3,0,229,4,0,0,0,0,0,1074003968
102380,11,0,0,33554465,3000,2500,8,8,4,4456448
109401,1,0,0,8225,1200,2400,5,1,32,4456448
111280,3,0,0,65538,0,0,0,0,0,33562624
114932,3,0,0,33,1400,300,3,256,1,4194304
122520,3,0,159,33,800,800,3,2,16,2147745794
123709,3,0,57,33,2100,200,6,1,4,1032
126218,3,0,0,4,0,0,0,0,0,134225920
128454,3,0,159,33,1100,2400,5,512,8,16
131182,3,0,0,33,300,500,2,2,16,65538
135598,3,0,0,4129,100,100,1,16384,1,1049088
146746,3,0,0,67108897,1500,34,2,32,1,262144
164710,3,0,0,4,0,0,0,0,0,0
168917,3,0,48,33,1800,800,4,4,16,262144
176392,3,0,29,33,1800,1800,4,256,1,17563648
176393,3,0,29,16401,1800,1800,4,256,1,0
191749,3,0,0,2,0,0,0,0,0,393216
209710,3,0,0,33,1000,1400,4,16777216,32,256
213326,3,0,0,2,0,0,0,0,0,512
218704,3,0,0,33554465,1400,1200,4,16384,2,262144
220414,3,0,159,33,1200,1200,4,1,16,67174404
242146,3,0,0,262146,0,0,0,0,0,8192
255998,3,0,102,33,1200,200,4,1,8,131072
259314,3,0,86,4,0,0,0,0,0,16785408
263926,3,0,0,33,100,100,1,4,1,262146
269012,11,0,0,524290,0,0,0,0,0,20972032
269510,3,0,0,524290,0,0,0,0,0,2147491840
276357,3,0,0,131076,0,0,0,0,0,65543
282886,3,0,7667828,33,1500,1500,4,131072,2,262144
284224,3,0,335,97,2000,3000,7,1,16,16777234
286392,11,0,102,8225,2100,1200,5,1,4,262160
291414,3,0,0,4129,0,0,1,8192,16,262144
293542,11,0,39,33,1200,0,3,32768,32,262656
295517,3,22702055,0,524290,0,0,0,0,0,2105344
296499,3,0,0,131076,0,0,0,0,0,65536
303660,3,0,0,262146,0,0,0,0,0,0
313513,3,0,0,2,0,0,0,0,0,262656
327051,11,0,336,2,0,0,0,0,0,262148
336369,3,0,16,4129,0,1800,2,4096,8,262656
340002,3,0,159,33,2600,1800,6,16384,1,16
359563,3,0,10,8388641,950,1950,4,8,32,2048
365213,3,0,0,131074,0,0,0,0,0,262400
368382,3,0,216,16777249,2000,800,101056517,32,2,2147745792
373085,3,0,0,33,800,200,3,128,4,8
387282,3,0,84,33,200,800,2,2,32,512
402568,3,0,14,33,1200,100,4,4096,16,131072
403847,3,0,0,131074,0,0,0,0,0,1056768
410904,3,0,192,33,2000,200,5,8192,8,262160
423585,11,0,0,33,800,1600,4,2,32,264704
423705,3,0,0,33,1800,1600,4,1,1,1
425934,3,0,172,33,1000,1800,4,8,1,0
440556,3,0,0,8388641,2600,2100,4,262144,2,262144
458748,3,0,0,65538,0,0,0,0,0,268697600
464362,3,0,173,97,1900,1200,6,8,32,8195
473469,3,0,0,4,0,0,0,0,0,1
487395,3,0,0,4113,400,1200,1,64,2,0
494922,3,0,154,8225,2400,3800,10,32,1,0
525110,3,0,91,4129,700,400,2,1024,32,262144
545781,3,0,0,4129,0,2500,5,8192,16,0
549481,3,0,0,17,500,2000,4,16384,1,0
564541,3,0,0,33,400,200,2,8192,1,262144
575512,3,0,193,524290,0,0,0,0,0,537141248
581014,3,0,16,8388641,1800,800,4,256,8,263424
595626,1,0,164,33,300,200,1,8,32,263704
596051,3,0,0,4,0,0,0,0,0,8192
598988,3,0,35,33554465,4000,0,10,8192,32,327680
601193,3,0,177,8225,2500,1000,6,2,16,272
612115,3,0,25,33,1200,800,3,64,2,262660
637216,3,0,0,33,1500,1200,4,32,1,8
645087,11,0,5308563,33,1400,300,4,16777216,16,786432
645088,11,0,81,16401,0,0,2,16777216,16,0
645794,3,0,208,16777249,1300,500,84213764,2,8,16777728
652362,3,0,12,4129,500,200,1,524288,16,263168
674561,3,0,0,2,0,0,0,0,0,2098176
675319,3,0,0,524290,0,0,0,0,0,1122304
691925,3,0,0,2,0,0,0,0,0,392
698785,3,0,0,8388641,3000,2000,8,8192,16,2
703897,11,0,283,1048580,0,0,0,0,0,2147485204
706925,3,0,119,33,1400,0,3,262144,2,1310723
712559,3,0,4,524290,0,0,0,0,0,270336
720147,11,0,308,4,0,0,0,0,0,1073741824
732302,3,0,0,17,900,1300,4,16,32,0
734741,3,0,177,4129,100,2100,3,8,32,262144
739444,11,0,0,67108897,1000,42,3,8192,32,256
744887,3,0,308,33,2200,2700,9,256,16,4
756652,1,0,0,17,900,500,2,1,1,0
759393,3,0,191,2097185,500,1500,3,2,4,4096
770365,3,0,110,8388641,2000,1700,5,2,16,8194
786906,3,0,0,4,0,0,0,0,0,262144
799183,3,0,0,1048580,0,0,0,0,0,2214592515
811734,3,0,4271,4,0,0,0,0,0,8704
816427,3,0,44,33,1600,200,4,128,4,12
847915,3,0,362,131076,0,0,0,0,0,16777216
856784,11,0,0,2,0,0,0,0,0,256
876330,3,0,41,33,2100,1500,6,8192,8,1311744
879958,3,0,0,4,0,0,0,0,0,16809988
899287,3,0,0,33,1500,1500,4,512,8,513
900787,3,0,41,8225,2000,1100,6,8192,8,8192
904185,3,0,0,65538,0,0,0,0,0,786432
904186,3,31533705,4123,16401,0,0,3,32,8,0
911883,11,0,0,2,0,0,0,0,0,262144
917796,3,0,84,2,0,0,0,0,0,8192
923596,3,0,114,33,1100,1900,4,32,1,2560
938717,3,0,0,33,0,2000,4,32,1,0
952523,3,0,4234,67108897,1800,34,2,1024,1,262144
967928,3,0,0,4,0,0,0,0,0,0
975299,3,0,0,524290,0,0,0,0,0,84156928
980973,3,0,17891393,33,1200,900,3,8192,8,262656
981540,3,0,0,4,0,0,0,0,0,16777216
983995,3,0,0,1048580,0,0,0,0,0,-2147483384
984114,3,0,22,33,400,1600,4,32,1,1040
987311,3,0,4271,8225,2500,2000,7,8,8,262144
1003028,3,0,0,33,1000,1000,4,1,32,262144
1003840,3,0,0,524290,0,0,0,0,0,262176
1005587,3,0,12910668,4,0,0,0,0,0,2147483650
1006081,3,0,67,4129,1500,900,3,1,1,0
1033312,11,0,0,2,0,0,0,0,0,520
1036974,3,0,0,2,0,0,0,0,0,4194304
1045143,3,0,4210,33,1000,500,3,32,1,262144
1050186,3,0,156,33,1800,1000,4,1,16,262152
1050355,11,0,305,524290,0,0,0,0,0,4194820
1050684,3,0,36,2,0,0,0,0,0,512
1061200,11,0,263,524290,0,0,0,0,0,33554944
1073952,11,0,0,2,0,0,0,0,0,256
1082946,3,0,0,4,0,0,0,0,0,0
1102515,3,0,65,33,1000,1000,3,8,32,256
1118137,11,0,82,262146,0,0,0,0,0,83894272
1127737,3,0,0,524290,0,0,0,0,0,4194304
1142880,11,0,4243,33,200,200,1,32,16,262144
1149109,3,0,0,131074,0,0,0,0,0,0
1151281,3,0,4333,2097185,2600,2500,8,64,1,264200
1154611,3,0,212,4,1200,0,2,64,2,263172
1157683,3,0,16531,131076,0,0,0,0,0,3
1174075,3,0,340,8388641,2000,0,1,32,16,2147483656
1184620,3,0,0,17,1500,1200,4,1,1,0
1187243,3,0,16,262146,0,0,0,0,0,33817088
1197847,3,0,250,262146,0,0,0,0,0,4464640
1200843,3,0,0,262146,0,0,0,0,0,16777216
1218214,3,0,227,131074,0,0,0,0,0,1308
1224927,11,0,0,4,0,0,0,0,0,1
1248895,3,0,0,4,0,0,0,0,0,2
1249315,3,0,0,8388641,600,1000,2,4,16,1056
1264319,3,0,4591687,2,0,0,0,0,0,268698624
1274455,3,0,210,33,1000,1000,3,1048576,32,262148
1278431,3,0,7,33,1600,500,4,32,1,262656
1281505,3,0,48,4129,900,900,2,32,16,16778240
1287123,3,0,0,33,2200,800,5,512,8,-2147483646
1295111,11,0,281,524290,0,0,0,0,0,8396800
1315120,11,0,39,4129,800,0,2,1,1,262656
1322368,3,0,238,67108897,1900,10,2,1,1,262144
1344018,3,0,8434,131076,0,0,0,0,0,8
1347977,3,0,0,2097185,800,1200,3,2,1,48
1353770,3,0,0,131074,0,0,0,0,0,1310720
1357146,3,0,0,33,100,2000,2,64,2,537134080
1362589,11,0,85,33,2000,0,4,1,16,2048
1371589,3,0,0,33,1800,1500,4,16384,1,8388608
1372887,3,0,0,65538,0,0,0,0,0,256
1409474,3,0,4221,33,1900,1900,6,32768,4,33816576
1412158,3,0,0,97,1200,500,6,32,1,262176
1426714,3,0,72,8388641,1800,0,3,16,32,794624
1426715,3,0,0,16401,500,500,1,8,32,0
1434352,3,0,207,33,0,0,1,8,32,8192
1435851,3,0,0,262146,0,0,0,0,0,8192
1474910,3,0,0,33,500,400,1,2048,8,256
1475311,11,0,0,2,0,0,0,0,0,2097420
1482001,11,0,0,67108897,0,128,1,2,1,0
1487805,3,0,0,67108897,2600,133,3,524288,16,67109376
1498130,3,0,61,4129,400,1800,2,1,1,33554432
1508649,11,0,259,67108897,1500,34,2,2,4,8704
1516510,3,0,4338,97,3000,2000,8,8192,32,33587200
1525329,3,0,0,33,1000,600,3,1,1,1056768
1527418,11,0,276,33,1600,2800,7,2,2,8388608
1533292,3,0,4098,33,1000,200,3,128,4,512
1539051,3,0,0,2,0,0,0,0,0,256
1546123,11,0,147,97,4000,2800,10,32,16,16384
1546124,11,1546123,147,97,4000,2800,10,32,16,16384
1557341,3,0,0,4129,1600,600,4,1,4,4194304
1557499,3,0,0,262146,0,0,0,0,0,8192
1561110,3,0,0,97,3000,2800,8,32,16,262148
1566817,3,0,0,33,1000,600,2,4,16,33554436
1571945,3,0,43,2097185,1500,800,4,1,16,2
1580833,3,0,216,16777249,1600,1800,50528260,32,2,2
1586457,3,0,0,33,900,900,9,32,16,262144
1596508,3,0,0,33,1700,200,4,32,32,0
1621413,3,0,8307,8388641,3000,2500,5,8192,32,2147753984
1637760,3,0,0,1048580,0,0,0,0,0,2
1639384,11,0,0,8388641,2800,1800,8,1,16,2181038080
1641882,3,0,0,65,900,700,3,16384,1,0
1644289,3,0,48,262146,0,0,0,0,0,33554944
1662004,3,0,121,4129,500,200,3,32768,4,537198592
1669772,3,0,0,4,0,0,0,0,0,1
1686814,3,0,0,8225,0,0,12,8192,32,262144
1689516,3,0,0,65538,0,0,0,0,0,1056768
1697104,3,0,4289,33558561,1500,0,2,1048576,16,2147745793
1710476,3,0,9633827,33554465,4000,2800,10,32,32,327680
1712616,2,0,368,1048580,0,0,0,0,0,2147483648
1735088,3,0,88,67108897,1800,5,2,32,16,1074004484
1759808,3,0,0,4,0,0,0,0,0,262176
1761063,3,0,0,17,1100,900,3,16384,1,0
1764972,3,0,4175,33554465,2900,2000,8,16,4,263168
1781310,3,0,0,4,0,0,0,0,0,323
1784619,3,0,0,17,1500,800,4,65536,1,0
1784686,3,0,161,2,0,0,0,0,0,262144
1799464,3,0,0,4129,800,1000,3,2048,1,262144
1799465,3,0,0,16401,0,0,3,2048,1,0
1801154,3,0,0,524290,0,0,0,0,0,268697600
1802450,3,0,0,131076,0,0,0,0,0,2097156
1804528,3,0,0,4,0,0,0,0,0,66
1825445,3,0,220,131076,0,0,0,0,0,1107296256
1826676,3,0,0,33,200,1200,4,32,1,262144
1828513,3,0,2097213,8388641,2500,400,4,1,1,8192
1833916,3,0,4207,33,1300,1100,4,1,1,262144
1834107,3,0,14,131074,0,0,0,0,0,8388608
1834753,3,0,0,33,2100,1200,6,1048576,16,1311232
1845204,11,0,70,2,0,0,0,0,0,268697600
1855932,3,0,136,8388641,2500,2000,4,32768,16,16785544
1861629,11,0,257,67108897,2300,133,3,16777216,32,2147491841
1861630,11,1861629,257,67108897,2300,133,3,16777216,32,2147491841
1872843,11,0,305,33,1000,2800,8,1,16,17039360
1896112,3,0,0,65538,0,0,0,0,0,262144
1906812,3,0,0,97,2500,2000,8,32,32,262656
1918087,3,0,172,131076,0,0,0,0,0,4194304
