id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
10000,万物创世龙,"这张卡不能通常召唤。把攻击力合计和守备力合计的总计直到10000以上的自己场上的怪兽解放的场合才能特殊召唤。
①：这个方法特殊召唤的这张卡的攻击力·守备力变成10000。",,,,,,,,,,,,,,,,
27551,限制苏生,从自己墓地选择1只攻击力1000以下的怪兽，攻击表示特殊召唤。那只怪兽变成守备表示时，那只怪兽和这张卡破坏。这张卡从场上离开时，那只怪兽破坏。那只怪兽破坏时这张卡破坏。,,,,,,,,,,,,,,,,
32864,第13人的埋葬者,原本没有任何人的一零三号墓地突然出现的丧尸。,,,,,,,,,,,,,,,,
35699,秘旋谍-龙卷风,"这张卡不能通常召唤。把自己墓地3张「秘旋谍」卡除外的场合才能特殊召唤。
①：1回合1次，以自己场上1张「秘旋谍」卡和对方场上最多2张卡为对象才能发动。那些卡破坏。这个效果在对方回合也能发动。
②：场上的这张卡被战斗·效果破坏送去墓地的场合发动。自己场上的卡全部破坏，从自己的手卡·卡组·墓地选1只「秘旋谍-花公子」特殊召唤。",,,,,,,,,,,,,,,,
39015,爆裂狙击手,"这个卡名的①②的效果1回合各能使用1次。
①：把这张卡解放才能发动。从手卡·卡组把「爆裂狙击手」以外的1只有「爆裂模式」的卡名记述的怪兽特殊召唤。这个效果发动过的回合，自己不是同调怪兽不能从额外卡组特殊召唤。
②：以自己场上1只表侧表示怪兽为对象才能发动。把额外卡组1只同调怪兽给对方观看，作为对象的怪兽的种族·属性直到回合结束时变成和给人观看的怪兽相同。",特殊召唤,改变种族·属性,,,,,,,,,,,,,,
41546,DD 魔导贤者 托马斯,"←6 【灵摆】 6→
「DD 魔导贤者 托马斯」的灵摆效果1回合只能使用1次。
①：自己主要阶段才能发动。从自己的额外卡组把1只表侧表示的「DD」灵摆怪兽加入手卡。
【怪兽效果】
「DD 魔导贤者 托马斯」的怪兽效果1回合只能使用1次。
①：以自己的灵摆区域1张「DD」卡为对象才能发动。那张卡破坏，从卡组把1只8星的「DDD」怪兽守备表示特殊召唤。这个回合，这个效果特殊召唤的怪兽的效果无效化，对方受到的战斗伤害变成一半。",加入手卡,特殊召唤,,,,,,,,,,,,,,
41777,宝石优化,把自己场上存在的1只名字带有「宝石骑士」的怪兽解放，选择自己墓地存在的1只名字带有「宝石骑士」的怪兽发动。选择的怪兽从墓地特殊召唤。,,,,,,,,,,,,,,,,
44818,圣夜骑士团·奥比泰尔,"这个卡名的①②的效果1回合各能使用1次。
①：以自己场上1只光属性怪兽为对象才能发动。那只怪兽解放，从卡组选1张「圣夜骑士」魔法·陷阱卡在自己场上盖放。这个效果在对方回合也能发动。
②：这张卡在墓地存在，自己场上的表侧表示的龙族·光属性·7星怪兽回到手卡的场合才能发动。这张卡特殊召唤。",,,,,,,,,,,,,,,,
50755,魔术师的法阵,①：自己或者对方的魔法师族怪兽的攻击宣言时才能发动。双方玩家各自从自己卡组把1只攻击力2000以下的魔法师族怪兽攻击表示特殊召唤。,,,,,,,,,,,,,,,,
56889,竞斗-交叉次元,"①：以自己场上1只「古代的机械」怪兽为对象才能发动。那只怪兽除外。这个效果除外的怪兽在下次的准备阶段回到场上，那个攻击力直到那个回合的结束时变成原本攻击力的2倍。
②：自己场上的「古代的机械巨人」或者「古代的机械巨人-究极重击」被战斗·效果破坏的场合，可以作为代替把墓地的这张卡除外。",,,,,,,,,,,,,,,,
62121,暗晦之城,反转：场上表侧表示的全部不死族的怪兽攻击力·守备力加200。只要这张卡在场上表侧表示存在，自己的每个准备阶段不死族的攻守力都会加200。这个效果持续到自己的第4个准备阶段。,反转,攻击上升,,,,,,,,,,,,,,
96540,下拍,"这个卡名的卡在1回合只能发动1张。
①：把自己场上1只表侧表示怪兽解放才能发动。和解放的怪兽是原本的种族·属性相同而原本等级低1星的1只怪兽从卡组特殊召唤。",,,,,,,,,,,,,,,,
98905,光波分光,①：自己场上的持有超量素材的「光波」超量怪兽被战斗或者对方的效果破坏送去自己墓地的场合，以那1只怪兽为对象才能发动。那只怪兽从墓地特殊召唤，把1只和那只怪兽同名的超量怪兽从额外卡组特殊召唤。,,,,,,,,,,,,,,,,
102380,熔岩魔神,"这张卡不能通常召唤。把对方场上2只怪兽解放的场合可以在对方场上特殊召唤。把这张卡特殊召唤的回合，自己不能通常召唤。
①：自己准备阶段发动。自己受到1000伤害。",特殊召唤,1000伤害,,,,,,,,,,,,,,
109401,暗次元的战士,"调整＋调整以外的怪兽1只以上
这个卡名的①②的效果1回合各能使用1次。
①：把1张手卡除外，以除外的1只自己的暗属性怪兽为对象才能发动。那只怪兽表侧守备表示或者里侧守备表示特殊召唤。
②：自己·对方的结束阶段发动。给与对方为场上盖放的卡数量×100伤害。",,,,,,,,,,,,,,,,
111280,黑魔导强化,"①：双方的场上·墓地的「黑魔术师」「黑魔术少女」数量的以下效果适用。
●1只以上：选场上1只魔法师族·暗属性怪兽，那个攻击力直到回合结束时上升1000。
●2只以上：这个回合，对方不能对应自己的魔法·陷阱卡的效果的发动把魔法·陷阱·怪兽的效果发动，自己场上的魔法·陷阱卡不会被对方的效果破坏。
●3只以上：自己场上的魔法师族·暗属性怪兽直到回合结束时不受对方的效果影响。",,,,,,,,,,,,,,,,
114932,板块轰击者,把自己场上存在的1张表侧表示的永续魔法或者永续陷阱卡送去墓地。给与对方基本分500分伤害。这个效果1回合可以使用最多2次。,伤害,,,,,,,,,,,,,,,
122520,娱乐伙伴 天空徒弟,"「娱乐伙伴 天空徒弟」的①的效果1回合只能使用1次。
①：让自己场上1只5星以上的「娱乐伙伴」怪兽回到持有者手卡才能发动。这张卡从手卡特殊召唤。这个效果在对方回合也能发动。
②：这张卡和对方怪兽进行战斗的场合，直到伤害步骤结束时那只怪兽的效果无效化。
③：自己场上有其他的「娱乐伙伴」怪兽存在的场合，这张卡向对方怪兽攻击的伤害计算前才能发动。那只对方怪兽破坏。",,,,,,,,,,,,,,,,
123709,熔岩枪杖手,这张卡可以不用解放作召唤。这个方法召唤的这张卡在结束阶段时送去墓地。场上存在的这张卡被破坏送去墓地时，可以选择从游戏中除外的1只自己的炎属性怪兽加入手卡。,不用解放召唤,这张卡送去墓地,加入手卡,,,,,,,,,,,,,
126218,恶魔的骰子,①：掷1次骰子。对方场上的怪兽的攻击力·守备力直到回合结束时下降出现的数目×100。,,,,,,,,,,,,,,,,
128454,娱乐伙伴 弹簧鹅,"「娱乐伙伴 弹簧鹅」的效果1回合只能使用1次。
①：自己主要阶段把墓地的这张卡除外，从自己的灵摆区域的「魔术师」卡、「娱乐伙伴」卡以及自己场上的灵摆怪兽之中以2张为对象才能发动。那2张卡回到持有者手卡。",回到手卡,,,,,,,,,,,,,,,
131182,奇迹反转士,「奇迹反转士」在自己场上存在的场合，这张卡不能召唤·反转召唤·特殊召唤。只要这张卡在场上表侧表示存在，对方不能选择其他的表侧表示的怪兽作为攻击对象。这张卡被战斗破坏的场合，这张卡在对方场上特殊召唤。这张卡被魔法·陷阱的效果破坏的场合，把对方场上1只怪兽破坏。,特殊召唤,对方场上1只怪兽破坏,,,,,,,,,,,,,,
135598,钥匙鼠,这张卡被战斗破坏送去墓地时，可以从自己卡组把1只3星以下的兽族怪兽加入手卡。,检索,,,,,,,,,,,,,,,
146746,机关重联 愤怒钩舌,"机械族怪兽2只
这个卡名的①②的效果1回合只能有1次使用其中任意1个。这张卡不能作为连接素材。
①：自己·对方的主要阶段，把自己的手卡·场上1只怪兽送去墓地，以自己墓地1只机械族·10星怪兽为对象才能发动。那只怪兽守备表示特殊召唤。这个效果特殊召唤的怪兽的效果无效化。
②：这张卡在墓地存在的场合，把自己的手卡·场上1张卡送去墓地才能发动。这张卡特殊召唤。",,,,,,,,,,,,,,,,
164710,小人的恶作剧,"①：这个回合，双方手卡的怪兽的等级下降1星。
②：把墓地的这张卡除外才能发动。这个回合，双方手卡的怪兽的等级下降1星。",,,,,,,,,,,,,,,,
168917,哈普托大日,1回合1次，可以选择当作装备卡使用在自己场上存在的1张名字带有「大日」的怪兽卡表侧守备表示特殊召唤。这个效果特殊召唤的怪兽从场上离开的场合从游戏中除外。,特殊召唤,,,,,,,,,,,,,,,
176392,核成试验台,场上表侧表示存在的名字带有「核成」的怪兽在结束阶段时被破坏的场合，可以作为代替把这张卡破坏。此外，场上表侧表示存在的名字带有「核成」的怪兽在结束阶段时被破坏时，可以在自己场上把1只「核成衍生物」（岩石族·地·4星·攻/守1800）特殊召唤。,是否要使用「核成试验台」的效果代替破坏？,特殊召唤,,,,,,,,,,,,,,
176393,核成衍生物,由「核成试验台」的效果特殊召唤。,,,,,,,,,,,,,,,,
191749,英雄一闪！！,把自己墓地的「H-火热之心」「E-紧急呼唤」「R-正义审判」「O-超越灵魂」从游戏中除外发动。从自己卡组特殊召唤1只名字带有「元素英雄」的通常怪兽。这个回合自己场上的名字带有「元素英雄」的通常怪兽可以直接攻击对方玩家。,,,,,,,,,,,,,,,,
209710,滑动触控王冠人,"这个卡名的效果1回合只能使用1次。
①：自己场上有这张卡以外的电子界族怪兽2只以上存在，自己手卡是0张的场合，支付1000基本分才能发动。自己从卡组抽1张。",,,,,,,,,,,,,,,,
213326,E-紧急呼唤,①：从卡组把1只「元素英雄」怪兽加入手卡。,,,,,,,,,,,,,,,,
218704,芬里尔,这张卡不能进行通常召唤。从自己墓地里除外2只水属性怪兽进行特殊召唤。这张卡战斗破坏对方怪兽时，略过对方的下一个抽卡阶段。,跳过抽卡阶段,,,,,,,,,,,,,,,
